Repo,File name,Test File,LLM Model Used,Prompt,Done By,PR,Passing Tests,Execution Time before,Execution Time After,LOC Before,LOC After,Test Case Coverage  %,Radon Score ( Out of 100),Radon Score(Out of 100) Measures Readability,,
https://github.com/scrapy/scrapy,contracts/__init__.py,test_contracts.py,Claude 3.5 Sonnet,,Abdel,https://github.com/scrapy/scrapy/pull/6667/files,7/14,,,,,,,,,
,,,GPT 4o,,Abdel,https://github.com/scrapy/scrapy/pull/6668/files,14/14,,,,,,,,,
,utils/url.py,test_utils_url.py,Claude 3.5 Sonnet,,Abdel,https://github.com/scrapy/scrapy/pull/6669/files,75/78,,,,,,,,,
,,,GPT 4o,,Abdel,https://github.com/scrapy/scrapy/pull/6670/files,78/78,,,,,,,,,
,,,,,,,,,,,,,,,,
https://github.com/se2p/pynguin?utm_source=chatgpt.com,tests/analyses/typesystem.py,,GPT 4o,,Paiman,https://github.com/se2p/pynguin/pull/85/files,200/200,0.38s,0.34s,,,,,,,
,tests/types.py,,GPT 4o,,Paiman,https://github.com/se2p/pynguin/pull/86/files,21/21,0.19s,0.12s,,,,,,,
,,,Claude 3.5 Sonnet,,Paiman,https://github.com/se2p/pynguin/pull/87/files,21/21,0.19s,0.14s,,,,,,,
,,,,,Paiman,,,,,,,,,,,
https://github.com/sharp1230/pymor/tree/cd773fea0e791cdfa5246cc77af50fe2523fbd62,scr/pymore/reductors/lowner.py,test_lowner.py,GPT 4o,,Paiman,unable to make pull request,48/48,19.1s,17.1s,347,298,,,,,
,scr/pymore/reductors/lowner.py,test_loewner.py,Claude 3.5 Sonnet,,Paiman,unable to make pull request,36/48,19.1s,17.1s,347,292,,,,,
,pymor/src/pymor/models/symplectic.py,scr/pymoretest/models/model.py,GPT 4o,,Paiman,unable to make pull request,99/99,13.4s,10.2s,192,182,,,,,
,,unable to make pull request,Claude 3.5 Sonnet,,Paiman,unable to make pull request,99/99,13.4s,10.8s,192,187,,,,,
,,affine_grid.py,CPT 4o,,Paiman,unable to make pull request,20/34,4.67s,60s,125,86,,,,,
,pymor/src/pymortests/fixtures/grid.py,affine_grid.py,Claude 3.5 Sonnet,,Paiman,unable to make pull request,34/34,5.57s,37.64,125,130,,,,,added extra code??
,pymor/src/pymor/core,pymor/src/pymortests/core/logger.py,GPT 4o,,Paiman,unable to make pull request,11/11,0.5s,0.4s,361,352,,,,,
,,,Claude 3.5 Sonnet,,Paiman,unable to make pull request,11/11,0.5s,0.5s,361,352,,,,,
,,,,,,,,,,,,,,,,
https://github.com/tokuhirom/jawiki-kana-kanji-dict,converter.py,test_converter.py,Gemini 2.0 Flash,1,Devang,https://github.com/tokuhirom/jawiki-kana-kanji-dict/pull/35,11/11,0.48s,0.12s,180,124,83,57.64,33.74,,
,,,GPT 4o,1,Devang,https://github.com/tokuhirom/jawiki-kana-kanji-dict/pull/36,0/11,0.48s,0.31s,180,92,83,57.64,NA,,Caused syntax issues
,,,Claude 3.5 Sonnet,1,Devang,https://github.com/devangb3/jawiki-kana-kanji-dict/pull/1,11/11,0.48s,0.15s,180,110,83,57.64,54.96,,
,validate.py,test_post_validate.py,GPT 4o,1,Devang,https://github.com/tokuhirom/jawiki-kana-kanji-dict/pull/35,40/40,0.49s,0.39s,223,149,50,59.86,49.36,,
,,,Claude 3.5 Sonnet,1,Devang,https://github.com/devangb3/jawiki-kana-kanji-dict/pull/2,39/40,0.49s,0.54s,223,130,50,59.86,51.01,,
,,,Gemini 2.0 Flash,1,Devang,https://github.com/devangb3/jawiki-kana-kanji-dict/pull/3,40/40,0.49s,0.38s,223,133,50,59.86,47.49,,
,,,,,,,,,,,,,,,,
https://github.com/crystalchan2001/OktoberfestAccomodation,mapper.py,testMapper.py,GPT 4o,1,Devang,https://github.com/crystalchan2001/OktoberfestAccomodation/pull/1,10/10,0.7s,0.63s,106,77,100,44.32,42.92,,
,,,Gemini 2.0 Flash,1,Devang,https://github.com/devangb3/OktoberfestAccomodation/pull/1,10/10,0.7s,0.63s,106,92,100,44.32,46.63,,
,,,Claude 3.5 Sonnet,1,Devang,https://github.com/devangb3/OktoberfestAccomodation/pull/2,10/10,0.7s,0.63s,106,97,100,44.32,41.59,,
,,,,,,,,,,,,,,,,
https://github.com/codefresh-contrib/python-flask-sample-app,auth.py,test_auth.py,GPT 4o,1,Devang,https://github.com/devangb3/python-flask-sample-app/pull/1/files,8/8,0.43s,0.41s,116,79,100,61.95,43.12,,
,,,Claude 3.5 Sonnet,1,Devang,https://github.com/devangb3/python-flask-sample-app/pull/3,8/8,0.43s,0.37s,116,82,100,61.95,45.95,,
,,,Gemini 2.0 Flash,1,Devang,https://github.com/devangb3/python-flask-sample-app/pull/4,8/8,0.43s,0.41s,116,95,100,61.95,44.27,,
,blog.py,test_blog.py,Gemini 2.0 Flash,1,Devang,https://github.com/devangb3/python-flask-sample-app/pull/2,8/8,0.78s,0.73s,125,101,93,65.22,68.58,,
,,,GPT 4o,1,Devang,https://github.com/devangb3/python-flask-sample-app/pull/6,,0.78s,0.77s,125,90,93,65.22,46.56,,
,,,Claude 3.5 Sonnet,1,Devang,https://github.com/devangb3/python-flask-sample-app/pull/5,8/8,0.78s,0.71s,125,88,93,65.22,47.19,,
,,,,,,,,,,,,,,,,
\\https://github.com/Cloudxtreme/linux-client,queue.py,Test_queue.py,GPT 4o,,Paiman,unable to make pull request,5/5,0.6s,0.2s,140,130,,,,,
,,,Claude 3.5,,Paiman,unable to make pull request,5/5,0.6s,0.4s,148,135,,,,,
,,,,,,,,,,,,,,,,
https://github.com/amosbastian/fpl,fpl/models/fixture.py,test_fixture.py,GPT 4o,1,Devang,https://github.com/devangb3/fpl/pull/1,22/22,0.07s,0.07s,173,91,100,57.67,41.67,,
,,,Claude 3.5 Sonnet,1,Devang,https://github.com/devangb3/fpl/pull/3,22/22,0.07s,0.08s,173,100,100,57.67,53.73,,
,,,Gemini 2.0 Flash,1,Devang,https://github.com/devangb3/fpl/pull/4,22/22,0.07s,0.08s,173,95,100,57.67,40.33,,
,,,Deepseek,1,Devang,https://github.com/devangb3/fpl/pull/7,22/22,0.07s,0.07s,173,128,100,,,,
,user.py,test_user.py,GPT 4o,1,Devang,https://github.com/devangb3/fpl/pull/2/,43/43,0.98s,0.96s,761,299,99,33.64,9.49,,Mainly removed comments
,,,Gemini 2.0 Flash,1,Devang,https://github.com/devangb3/fpl/pull/5,42/43,0.98s,1.66s,761,666,99,33.64,34.77,,
,,,Claude 3.5 Sonnet,1,Devang,https://github.com/devangb3/fpl/pull/6,40/43,0.98s,1.31s,761,609,99,33.64,34.2,,
,,,,,,,,,,,,,,,,
https://github.com/gristlabs/asttokens,mark_tokens.py,test_mark_tokens.py,GPT 4o,1,Devang,https://github.com/devangb3/asttokens/pull/1,49/49,1.41s,1.37s,467,456,79,41.77,42.09,,
,,,Gemini 2.0 Flash,1,Devang,https://github.com/devangb3/asttokens/pull/2,49/49,1.41s,1.32s,467,466,79,41.77,42.28,,
,,,Claude 3.5 Sonnet,1,Devang,https://github.com/devangb3/asttokens/pull/6,45/49,1.41s,1.59s,467,311,79,41.77,29.03,,
,asttokens.py,test_asttokens.py,Gemini 2.0 Flash,1,Devang,https://github.com/devangb3/asttokens/pull/3,7/7,0.17s,0.18s,450,436,98,46.69,47.51,,
,,,GPT 4o,1,Devang,https://github.com/devangb3/asttokens/pull/4,7/7,0.17s,0.19s,450,231,98,46.69,49.74,,Mainly removed comments
,,,Claude 3.5 Sonnet,1,Devang,https://github.com/devangb3/asttokens/pull/5,0/7,0.17s,0.43s,450,200,98,46.69,25.21,,
,,,,,,,,,,,,,,,,
https://github.com/censys/censys-python,censys/asm/api.py,tests/asm/test_api.py,GPT 4o,1,Devang,https://github.com/devangb3/censys-python/pull/1,55/55,0.51s,0.91s,121,112,100,77.38,77.61,,
,,,Claude Sonnet 3.5,1,Devang,https://github.com/devangb3/censys-python/pull/12,54/55,0.51s,0.46s,121,74,100,77.38,49.71,,
,,,Gemini 2.0 Flash,1,Devang,https://github.com/devangb3/censys-python/pull/11,55/55,0.51s,1.16s,121,116,100,77.38,77.63,,
,censys/asm/inventory.py,tests/asm/test_inventory.py,GPT 4o,1,Devang,https://github.com/devangb3/censys-python/pull/2/,2/4,0.61s,0.83s,128,127,100,73.73,77.02,,Debloating caused test failures
,,,Claude Sonnet 3.5,1,Devang,https://github.com/devangb3/censys-python/pull/13,2/4,0.61s,0.87s,128,71,100,73.73,57.92,,
,,,Gemini 2.0 Flash,1,Devang,https://github.com/devangb3/censys-python/pull/14,2/4,0.61s,0.80s,128,97,100,73.73,79.61,,
,censys/asm/seeds.py,tests/asm/test_seeds.py,GPT 4o,1,Devang,https://github.com/devangb3/censys-python/pull/3,8/11,0.60s,1.04s,105,46,100,100,59.7,,Debloating caused test failures
,,,Claude Sonnet 3.5,1,Devang,https://github.com/devangb3/censys-python/pull/15,8/11,0.60s,0.37s,105,46,100,100,61.08,,
,,,Gemini 2.0 Flash,1,Devang,https://github.com/devangb3/censys-python/pull/4,8/11,0.60s,0.97s,105,107,100,100,75.25,,Added LOC & Caused Test Failures
,censys/asm/risks.py,tests/asm/test_risks.py,Claude Sonnet 3.5,1,Devang,https://github.com/devangb3/censys-python/pull/16,23/23,0.68s,0.66s,184,96,100,100,49.49,,
,,,GPT 4o,1,Devang,https://github.com/devangb3/censys-python/pull/6,23/23,0.68s,0.67s,184,96,100,100,48.05,,Mainly removed comments
,,,Gemini 2.0 Flash,1,Devang,https://github.com/devangb3/censys-python/pull/17,23/23,0.68s,0.70s,184,179,100,100,70.64,,
,censys/cli/commands/asm.py,tests/cli/test_asm.py,GPT 4o,1,Devang,https://github.com/devangb3/censys-python/pull/7,61/62,2.64s,3.38s,1007,999,100,30.44,29.7,,Debloating caused test failures
,,,Gemini 2.0 Flash,1,Devang,https://github.com/devangb3/censys-python/pull/10,61/62,2.64s,2.74s,1007,998,100,30.44,31.21,,
,censys/cli/commands/config.py,tests/cli/test_config.py,GPT 4o,1,Devang,https://github.com/devangb3/censys-python/pull/19,6/6,1.13s,1.12s,96,88,,,,,
,,,GPT 4o,2,Devang,https://github.com/devangb3/censys-python/pull/20,6/6,1.13s,1.13s,96,94,100,,,,
,,,Deepseek,,Devang,https://github.com/devangb3/censys-python/pull/18,6/6,1.13s,1.10s,96,80,100,,,,
,censys/cli/commands/search.py ,tests/cli/test_search.py,GPT 4o,2,Devang,https://github.com/devangb3/censys-python/pull/22,11/17,1.83s,2.39s,247,116,100,,,,
,,,GPT 4o,1,Devang,https://github.com/devangb3/censys-python/pull/21,11/17,1.83s,1.97s,247,114,100,,,,
,,,Deepseek,,Devang,https://github.com/devangb3/censys-python/pull/23,13/17,1.83s,2.10s,247,216,100,,,,
,censys/cli/commands/view.py,tests/cli/test_view.py,GPT 4o,2,Devang,https://github.com/devangb3/censys-python/pull/24,11/11,1.42s,1.42s,136,128,100,,,,
,,,GPT 4o,1,Devang,https://github.com/devangb3/censys-python/pull/25,11/11,1.42s,1.42s,136,117,100,,,,
,,,Deepseek,,Devang,https://github.com/devangb3/censys-python/pull/26,11/11,1.42s,1.37s,136,115,100,,,,
,censys/cli/commands/hnri.py,tests/cli/test_hnri.py,GPT4o,2,Devang,https://github.com/devangb3/censys-python/pull/30,6/6,1.28s,1.28s,175,168,100,,,,
,,,GPT 4o,1,Devang,https://github.com/devangb3/censys-python/pull/29,5/6,1.28s,1.35s,175,146,100,,,,
,,,Deepseek,,Devang,https://github.com/devangb3/censys-python/pull/28,5/6,1.28s,1.27s,175,145,100,,,,
,,,Claude Sonnet 3.5,,Devang,https://github.com/devangb3/censys-python/pull/27,5/6,1.28s,1.31s,175,128,100,,,,
,censys/common/base.py,tests/test_base.py,GPT 4o,2,Devang,https://github.com/devangb3/censys-python/pull/34,11/11,0.57s,0.57s,296,215,100,,,,
,,,GPT 4o,1,Devang,https://github.com/devangb3/censys-python/pull/31,11/11,0.57s,0.57s,296,280,100,,,,
,,,Claude Sonnet 3.5,,Devang,https://github.com/devangb3/censys-python/pull/32,11/11,0.57s,0.52s,296,238,100,,,,
,,,Deepseek,,Devang,https://github.com/devangb3/censys-python/pull/33,10/11,0.57s,0.74s,296,201,100,,,,
,censys/cli/commands/subdomains.py,tests/cli/test_subdomains.py,GPT 4o,2,Devang,https://github.com/devangb3/censys-python/pull/38,3/3,0.90s,1.11s,105,100,100,,,,
,,,GPT 4o,1,Devang,https://github.com/devangb3/censys-python/pull/35,2/3,0.90s,1.29s,105,108,100,,,,
,,,Claude Sonnet 3.5,,Devang,https://github.com/devangb3/censys-python/pull/36,3/3,0.90s,1.11s,105,100,100,,,,
,,,Deepseek,,Devang,https://github.com/devangb3/censys-python/pull/37,3/3,0.90s,0.94s,105,93,100,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
https://github.com/censys/censys-python,censys/asm/beta.py,tests/asm/test_beta.py,Claude Sonnet 3.5,,,To be created,6 / 6,0.41s,0.38s,117,97,,,,,
,,,,,,,,,,,,,,,,
https://github.com/github-pengge/inpainting/tree/5a51237a3a54e8f27a780cc43270569a05cb1198,networks.py,utest.py,GPT 4o,,,https://github.com/AdilBukhari/ecs260-inpainting/pull/1,0/34,34.5s,n/a,648,108,,,,,debloated too much despite adjusting prompt/etc.
,,,,,,,,,,,,,,,,
https://github.com/pystitch/stitch,sticher/options.py,tests/test_options.py,GPT 4o,,,https://github.com/AdilBukhari/ecs260-stitch/pull/1,9/9,0.37,0.34,88,70,,,,,
,sticher/options.py,tests/test_options.py,Claude 3.5 Sonnet,,,https://github.com/AdilBukhari/ecs260-stitch/pull/2,9/9,0.37,0.35,88,83,,,,,
,sticher/parser.py,tests/test_parser.py,GPT 4o,,,https://github.com/AdilBukhari/ecs260-stitch/pull/1,18/18,1.06,1.13,91,63,,,,,
,sticher/parser.py,tests/test_parser.py,Claude 3.5 Sonnet,,,https://github.com/AdilBukhari/ecs260-stitch/pull/2,18/18,1.06,0.58,91,71,,,,,
,sticher/stitcher.py,tests/test_stitcher.py,GPT 4o,,,https://github.com/AdilBukhari/ecs260-stitch/pull/1,0/64,,,882,205,,,,,debloated too much despite adjusting prompt/etc.
,sticher/stitcher.py,tests/test_stitcher.py,Claude 3.5 Sonnet,,,https://github.com/AdilBukhari/ecs260-stitch/pull/2,62/64,,,882,521,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
https://github.com/timonwong/cyksuid/tree/master,cyksuid/ksuid.py,tests/test_v1_ksuid.py,GPT 4o,1,Paiman,https://github.com/timonwong/cyksuid/pull/39,14/14,0.24,0.14,64,62,100%,,,,
,cyksuid/ksuid.py,tests/test_v1_ksuid.py,GPT 4o,2,Paiman,https://github.com/timonwong/cyksuid/pull/40,14/14,0.24,0.14,64,62,100%,,,,
,cyksuid/ksuid.py,tests/test_v1_ksuid.py,Claude,1,Paiman,https://github.com/timonwong/cyksuid/pull/41,14/14,0.24,0.65,64,42,100%,,,,
,cyksuid/ksuid.py,tests/test_v1_ksuid.py,Deepseek,1,Paiman,https://github.com/timonwong/cyksuid/pull/42,14/14,0.24,0.22,64,64,100%,,,,
https://github.com/timonwong/cyksuid/tree/master,cyksuid/_ksuid.pyi,tests/test_exception.py,GPT 4o,2,Paiman,https://github.com/timonwong/cyksuid/commit/e3a809bb0e498d993ef0dbef61f4a415ee85b804,3/3,0.18,0.18,92,78,100%,,,,
,cyksuid/_ksuid.pyi,tests/test_exception.py,GPT 4o,1,Paiman,https://github.com/timonwong/cyksuid/compare/master...PNejr10:cyksuid:_ksuid_gpt_2?expand=1,3/3,0.18,0.18,92,78,100%,,,,
,cyksuid/_ksuid.pyi,tests/test_exception.py,Claude,1,Paiman,https://github.com/timonwong/cyksuid/compare/master...PNejr10:_ksuid_claude?expand=1,3/3,0.18,0.24,92,66,100%,,,,
,cyksuid/_ksuid.pyi,tests/test_exception.py,Deepseek,1,Paiman,https://github.com/timonwong/cyksuid/compare/master...PNejr10:_ksuid_deepseek?expand=1,3/3,0.18,0.19,92,158,100%,,,,
https://github.com/pyensemble/wildwood,wildwood/forest.py,test/test_core.py,GPT 4o,1,Paiman,https://github.com/pyensemble/wildwood/pull/118,125/125,30,33,1745,832,100%,,,,
,wildwood/forest.py,test/test_core.py,GPT 4o,2,Paiman,https://github.com/pyensemble/wildwood/pull/119,125/125,30,31,1745,832,100%,,,,
,wildwood/forest.py,test/test_core.py,Claude,1,Paiman,https://github.com/pyensemble/wildwood/pull/120,53/125,30,37,1745,1488,100%,,,,
,wildwood/forest.py,test/test_core.py,Deepseek,1,Paiman,https://github.com/pyensemble/wildwood/pull/121,39/125,30,26,1745,1256,100%,,,,
https://github.com/pyensemble/wildwood,wildwood/preprocessing/feature_bitarray.py,test/test_encoder.py,GPT 4o,2,Paiman,https://github.com/pyensemble/wildwood/pull/122,77/77,17,22.46,462,122,100%,,,,
,wildwood/preprocessing/feature_bitarray.py,test/test_encoder.py,GPT 4o,1,Paiman,https://github.com/pyensemble/wildwood/pull/123,77/77,17,23,462,115,100%,,,,
,wildwood/preprocessing/feature_bitarray.py,test/test_encoder.py,Claude,1,Paiman,https://github.com/pyensemble/wildwood/pull/124,77/77,17,21.76,462,317,100%,,,,
,wildwood/preprocessing/feature_bitarray.py,test/test_encoder.py,Deepseek,1,Paiman,https://github.com/pyensemble/wildwood/pull/125,44/77,17,21,462,321,100%,,,,
https://github.com/pyensemble/wildwood,wildwood/dataset/loader.py,test/test_data_loader.py,GPT 4o,2,Paiman,https://github.com/pyensemble/wildwood/pull/126,36/42,42,32,1074,472,100%,,,,
,wildwood/dataset/loader.py,test/test_data_loader.py,GPT 4o,1,Paiman,https://github.com/pyensemble/wildwood/pull/127,36/42,42,50,1074,425,100%,,,,
,wildwood/dataset/loader.py,test/test_data_loader.py,Claude,1,Paiman,https://github.com/pyensemble/wildwood/pull/128,36/42,42,39,1074,544,100%,,,,
,wildwood/dataset/loader.py,test/test_data_loader.py,Deepseek,1,Paiman,https://github.com/pyensemble/wildwood/pull/129,0/42,42,47,1074,318,100%,,,,
https://github.com/PNejr10/LLM_Hack-A-Roo_2024,Main.py,UnitTest.py,GPT 4o,2,Paiman,https://github.com/PatelYagna/LLM_Hack-A-Roo_2024/pull/1,10/14,1,2.21,813,123,100%,,,,
,Main.py,UnitTest.py,GPT 4o,1,Paiman,https://github.com/PatelYagna/LLM_Hack-A-Roo_2024/pull/2,10/14,1,1.07,813,121,100%,,,,
,Main.py,UnitTest.py,Claude,1,Paiman,https://github.com/PatelYagna/LLM_Hack-A-Roo_2024/pull/3,14/14,1,0.88,813,693,100%,,,,
,Main.py,UnitTest.py,Deepseek,1,Paiman,https://github.com/PatelYagna/LLM_Hack-A-Roo_2024/pull/4,14/14,1,1,813,569,100%,,,,
https://github.com/PNejr10/AAA,Morse.py,Issue_02.py,GPT 4o,2,Paiman,https://github.com/DmitryKuptsov/AAA/pull/2,3/3,0.14,0.14,54,36,,,,,
,,,GPT 4o,1,Paiman,https://github.com/DmitryKuptsov/AAA/pull/3,3/3,0.14,0.14,54,34,,,,,
,,,Claude,1,Paiman,https://github.com/DmitryKuptsov/AAA/pull/4,3/3,0.14,0.14,54,44,,,,,
,,,Deepseek,1,Paiman,https://github.com/DmitryKuptsov/AAA/pull/5,3/3,0.14,0.14,54,42,,,,,
https://github.com/astriaorg,typer_validators.py,test_typer_validators.py,Claude,1,Abdel,https://github.com/astriaorg/safe-cli/pull/10,,0.09,0.06,63,45,100%,,,,
,,,4o,1,Abdel,https://github.com/astriaorg/safe-cli/pull/11,,0.09,0.09,63,63,,,,,
https://github.com/zephyrproject-rtos/zephyr,,,Deepseek,1,Abdel,https://github.com/astriaorg/safe-cli/pull/12,,0.09,0.23,,58,,,,,
,,test_dtlib.py,Claude,1,Abdel,https://github.com/zephyrproject-rtos/zephyr/pull/86967,/36,0.07,0.92,2239,472,,,,,
,,,4o,1,Abdel,https://github.com/abdeliibrahim/zephyr/pull/1,6/36,0.07,1.94,2239,1227,,,,,
,,,Deepseek,1,Abdel,https://github.com/abdeliibrahim/zephyr/pull/2,0/36,0.07,0.15,2239,2163,,,,,
https://github.com/abersheeran/a2wsgi,asgi.py,test/test_asgi.py,Claude,1,Paiman,https://github.com/abersheeran/a2wsgi/pull/67,0/11,0.11,0.21,301,132,100%,,,,
,,,GPT 4o,2,Paiman,https://github.com/abersheeran/a2wsgi/pull/68,11/11,0.11,2.21,301,301,100%,,,,
,,,GPT 4o,1,Paiman,https://github.com/abersheeran/a2wsgi/pull/69,0/11,0.11,infinite loop due to threading ,301,296,100%,,,,
,,,Deepseek,1,Paiman,https://github.com/abersheeran/a2wsgi/pull/70,4/11,0.11,infinite loop due to threading ,301,266,100%,,,,
,wsgi.py,test/test_wsgi.py,GPT 4o,2,Paiman,https://github.com/abersheeran/a2wsgi/pull/71,1/7,0.21,0.48,266,204,100%,,,,
,,,GPT 4o,1,Paiman,https://github.com/abersheeran/a2wsgi/pull/72,7/7,0.21,0.21,266,215,100%,,,,
,,,Claude,1,Paiman,https://github.com/abersheeran/a2wsgi/pull/73,6/7,0.21,0.39,266,223,100%,,,,
,,,Deepseek,1,Paiman,https://github.com/abersheeran/a2wsgi/pull/74,6/7,0.21,0.24,266,235,100%,,,,
https://github.com/iconloop/kona,kona//key_value_store_imdb.py,test/test_key_value_store_imdb.py,gpt 4o,2,Paiman,https://github.com/iconloop/kona/pull/14,6/6,0.24,0.29,230,211,100%,,,,
,,,gpt 4o,1,Paiman,https://github.com/iconloop/kona/pull/15,5/6,0.24,0.29,230,191,100%,,,,
,,,Claude,1,Paiman,https://github.com/iconloop/kona/pull/16,5/6,0.24,0.29,230,188,100%,,,,
,,,Deepseek,1,Paiman,https://github.com/iconloop/kona/pull/17,5/6,0.24,0.29,230,173,100%,,,,
https://github.com/Redhead80/6.Tests,main.py,pytest_.py,gpt 4o,2,Paiman,https://github.com/Redhead80/6.Tests/pull/1,11/11,0.19,0.19,175,135,100%,,,,
,,,gpt 4o,1,Paiman,https://github.com/Redhead80/6.Tests/pull/2,11/11,0.19,0.19,175,131,100%,,,,
,,,claude,1,Paiman,https://github.com/Redhead80/6.Tests/pull/3,11/11,0.19,0.19,175,127,100%,,,,
,,,Deepseek,1,Paiman,https://github.com/Redhead80/6.Tests/pull/4,11/11,0.19,0.19,175,150,100%,,,,